Id,Section,Name,Price,Total Sold,Total Reviews,Shop Location,Sold Status
3508140629,Beauty Supplements Value Sets,Medileen Veronika Plus,1950.0,399.0,62.0,Bangkok,Sold
3128591287,Beauty Supplements Value Sets,คอลลาเจนไซโกโนะ Saikono (1กล่องมี 10ซอง) *ไม่กรีดรหัส* ผลิตล่าสุด,159.0,9999.0,2742.0,Surat Thani,Sold
4729647988,Beauty Supplements Value Sets,Himalaya Purim ดูแลผิว,79.0,6.0,0.0,Bangkok,Sold
4315424345,Beauty Supplements Value Sets,DHC X Bestural Collagen Gummy 20days [120g x 40 Tablets]คอลลาเจนแบบเคี้ยว 40 เม็ด,218.0,201.0,31.0,Samut Prakan,Sold
4683857444,Beauty Supplements Value Sets,ไซโกโนะ คอลลาเจน & กลูต้าไซโกะ กลูต้าเม็ดซอฟเจล Saikono Collagen plus  &  Saiko Gluta,176.0,21.0,2.0,Bangkok,Sold
3510583095,Beauty Supplements Value Sets,กลูต้าL-Gluta Armoni Plus,125.0,1891.0,292.0,Bangkok,Sold
4320698719,Beauty Supplements Value Sets,"คอลลาเจนอิงฟ้า บาย มิสแกรนด์ ของแท้ ปริมาณ 120,000mg",299.0,64.0,16.0,Bangkok,Sold
4505352797,Beauty Supplements Value Sets,แพ็คคู่สุดคุ้ม วิตามินซี+คอลลาเจน(Fulfill),300.0,162.0,33.0,Phichit,Sold
869088956,Beauty Supplements Value Sets,COLLA Zinc Plus C CherChom คอลลา ซิ้งค์ พลัส ซี  เชอชม (1กระป๋อง/50 กรัม),149.0,235.0,15.0,Bangkok,Sold
2702858616,Beauty Supplements Value Sets,BIO C MIX ไบโอซี มิกซ์ วิตมินซี 1000mg. 30เม็ด,99.0,602.0,61.0,Bangkok,Sold
4380303466,Beauty Supplements Value Sets,"( ซื้อ 1 แถม 1 ) แพ็คเกจใหม่!! คอลลาเจนผัก 200,000mg.Veggie Collagen Powder คุมหิว อิ่มนาน ผอม ผิวสวย",310.0,820.0,179.0,Bangkok,Sold
385168226,Beauty Supplements Value Sets,A-OVA Collagen (เอโอว่า คอลลาเจน) เครื่องดื่มคอลลาเจนสกัดเย็นจากหอยเป๋าฮื้อ  1 แพ็ค 6 ขวด,225.0,762.0,123.0,Bangkok,Sold
4634724890,Beauty Supplements Value Sets,Serene Collagen ซีรีนคอลลาเจน 1 กล่องมี 10 ซอง,380.0,180.0,32.0,Samut Prakan,Sold
4709174501,Beauty Supplements Value Sets,อารยาคอลลาเจน 🔥ซื้อ 1 แถม 2🔥 ได้ 3 กล่อง 30 ซอง คอลลาเจนราสพ์เบอร์รี่,330.0,153.0,37.0,Nonthaburi,Sold
4705353294,Beauty Supplements Value Sets,วิตามินผิวเบลล่า ซันนี่ Bella Sunny 🍊1 แถม 1 ของแท้+พร้อมส่ง🍊🍅,284.0,71.0,12.0,Lampang,Sold
4670634718,Beauty Supplements Value Sets,"Amado immu collagen คอลลาเจนไดเปปไทด์ 100,000 มก.",167.0,82.0,9.0,Bangkok,Sold
4800811569,Beauty Supplements Value Sets,[1 ห่อ 390 บาท] C Brink Collagen  ตรา อากาเนะ,390.0,0.0,0.0,Chonburi,Unsold
4795929384,Beauty Supplements Value Sets,ใหม่!! NAREEYA PLUS นารีญา สมุนไพร วิตามิน เบต้ากลูแคน วิตามินซี คอลลาเจน collagen นารีญาพลัส สารสกัด 19 ชนิด บำรุงผิว 1 กระปุก บรรจุ 60 เม็ด,340.0,0.0,0.0,Si Sa Ket,Unsold
4795905473,Beauty Supplements Value Sets,นารีญาพลัส NAREEYA PLUS 1 กระปุก 60 เม็ด ของแท้ ส่งฟรี!! นารีญา สมุนไพร วิตามินซี คอลลาเจน collagen สารสกัด 19 ชนิด บำรุงผิว,340.0,0.0,0.0,Si Sa Ket,Unsold
4795447713,Beauty Supplements Value Sets,คอลลาเจน ไตรเปปไทด์,200.0,0.0,0.0,Kalasin,Unsold
4793806233,Beauty Supplements Value Sets,Grape seed สารสกัดจากเมล็ดองุ่น,380.0,0.0,0.0,Nong Khai,Unsold
4790562587,Beauty Supplements Value Sets,[Veeyah] วียา ฟรุ๊ตตี้ วิตซี คอลลาเจน ไฟเบอร์ 1 กล่อง 290.- ส่งฟรี,290.0,0.0,0.0,Phitsanulok,Unsold
4790263341,Beauty Supplements Value Sets,โปร 1 แถม 1 Araya gluta กลูต้าอารยา น้องม่วงสดใส บำรุงผิว ผิวโกวล์ใส ผิวสวย ออร่า,265.0,0.0,0.0,Nonthaburi,Unsold
4790206793,Beauty Supplements Value Sets,Posh Medica คอลลาเจน ทับทิมหิมะ แพ็ก 6 ซอง,169.0,0.0,0.0,Yala,Unsold
4789605345,Beauty Supplements Value Sets,"พอช เมดิกา คอลลาเจน ลิ้นจี่หิมะ คอลลาเจน 10,000 มก.",49.0,0.0,0.0,Bangkok,Unsold
4785016451,Beauty Supplements Value Sets,คอลลาเจนพลัส+ผัก โปรคู่ขายดี,590.0,0.0,0.0,Chiang Rai,Unsold
4784981116,Beauty Supplements Value Sets,PAN PLUS,290.0,0.0,0.0,Roi Et,Unsold
